17.0,-2.5
12.6,6.7
2.7,-3.9
2.8,-0.2
-32.6,32.0
-14.4,-8.6
-42.6,18.9
11.5,-29.6
39.6,-16.2
-44.8,8.5
47.2,-2.9
-36.3,-30.3
-18.0,33.3
-1.3,-0.6
41.5,23.1
12.3,30.2
-15.0,-14.3
2.4,18.2
-14.2,-20.0
42.1,6.6
11.6,13.1
17.2,-19.6
-7.1,9.4
-37.9,4.9
0.9,0.6
-0.8,18.8
5.7,7.2
-31.0,-14.8
15.3,-3.3
-17.9,24.7
-4.1,6.8
25.1,-15.2
15.1,14.7
-6.6,-15.5
-42.3,-6.4
-1.9,-0.2
20.9,7.3
-1.4,2.5
13.2,-0.1
-7.0,11.8
34.9,-10.7
27.9,14.5
8.0,-8.3
8.4,6.5
27.7,5.6
-1.7,25.9
39.0,16.0
28.0,15.3
-31.6,-19.4
-6.6,41.0
0.2,-20.9
4.2,2.0
3.7,4.1
8.3,-37.3
-44.3,9.9
-1.7,0.3
11.4,-2.0
-16.8,-1.1
22.3,-2.5
12.5,-29.8
-44.6,14.4
-13.3,0.8
1.4,-4.1
2.1,5.6
16.3,0.0
-2.9,1.0
0.3,-0.3
-11.5,-22.9
29.8,-19.8
-3.5,-3.8
-4.1,47.1
-5.2,0.1
46.0,6.7
-6.4,-0.0
0.2,-16.1
-26.9,-8.9
-23.9,-5.2
34.5,20.1
4.0,8.7
1.9,19.9
-0.1,-10.3
-12.9,13.7
34.4,-30.7
7.1,37.3
43.9,16.0
-0.1,-7.6
5.8,-15.4
12.1,-3.7
-2.5,-0.9
1.9,24.7
-43.1,-18.7
10.4,-11.1
-1.7,-17.0
43.9,10.4
-1.9,-8.2
-39.2,-3.1
20.8,2.0
-29.2,10.9
-8.0,4.3
13.0,11.1
